,items,support,ordered_statistics
13,"frozenset({'yogurt', 'butter milk', 'canned beer'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'butter milk'}), items_add=frozenset({'yogurt', 'canned beer'}), confidence=0.019011406844106463, lift=4.9046151829028455), OrderedStatistic(items_base=frozenset({'canned beer'}), items_add=frozenset({'yogurt', 'butter milk'}), confidence=0.007122507122507123, lift=5.60916179337232), OrderedStatistic(items_base=frozenset({'yogurt'}), items_add=frozenset({'butter milk', 'canned beer'}), confidence=0.0038910505836575876, lift=4.851815823605707), OrderedStatistic(items_base=frozenset({'butter milk', 'canned beer'}), items_add=frozenset({'yogurt'}), confidence=0.4166666666666667, lift=4.851815823605707), OrderedStatistic(items_base=frozenset({'yogurt', 'butter milk'}), items_add=frozenset({'canned beer'}), confidence=0.26315789473684215, lift=5.609161793372321), OrderedStatistic(items_base=frozenset({'yogurt', 'canned beer'}), items_add=frozenset({'butter milk'}), confidence=0.08620689655172414, lift=4.9046151829028455)]"
14,"frozenset({'sausage', 'frozen vegetables', 'canned beer'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'canned beer'}), items_add=frozenset({'sausage', 'frozen vegetables'}), confidence=0.007122507122507123, lift=3.437873357228196), OrderedStatistic(items_base=frozenset({'frozen vegetables'}), items_add=frozenset({'sausage', 'canned beer'}), confidence=0.011933174224343675, lift=4.825840159969038), OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'canned beer', 'frozen vegetables'}), confidence=0.005537098560354374, lift=4.142580287929125), OrderedStatistic(items_base=frozenset({'frozen vegetables', 'canned beer'}), items_add=frozenset({'sausage'}), confidence=0.25, lift=4.142580287929125), OrderedStatistic(items_base=frozenset({'sausage', 'canned beer'}), items_add=frozenset({'frozen vegetables'}), confidence=0.13513513513513514, lift=4.825840159969038), OrderedStatistic(items_base=frozenset({'sausage', 'frozen vegetables'}), items_add=frozenset({'canned beer'}), confidence=0.16129032258064518, lift=3.4378733572281965)]"
15,"frozenset({'whole milk', 'hygiene articles', 'canned beer'})",0.00040098910646260775,"[OrderedStatistic(items_base=frozenset({'canned beer'}), items_add=frozenset({'whole milk', 'hygiene articles'}), confidence=0.008547008547008546, lift=4.918803418803418), OrderedStatistic(items_base=frozenset({'hygiene articles'}), items_add=frozenset({'whole milk', 'canned beer'}), confidence=0.029268292682926828, lift=4.866016260162602), OrderedStatistic(items_base=frozenset({'whole milk'}), items_add=frozenset({'canned beer', 'hygiene articles'}), confidence=0.0025391451544646637, lift=3.4539299042049785), OrderedStatistic(items_base=frozenset({'hygiene articles', 'canned beer'}), items_add=frozenset({'whole milk'}), confidence=0.5454545454545454, lift=3.4539299042049785), OrderedStatistic(items_base=frozenset({'whole milk', 'canned beer'}), items_add=frozenset({'hygiene articles'}), confidence=0.06666666666666667, lift=4.866016260162602), OrderedStatistic(items_base=frozenset({'whole milk', 'hygiene articles'}), items_add=frozenset({'canned beer'}), confidence=0.23076923076923078, lift=4.918803418803419)]"
16,"frozenset({'yogurt', 'soda', 'chewing gum'})",0.00040098910646260775,"[OrderedStatistic(items_base=frozenset({'chewing gum'}), items_add=frozenset({'yogurt', 'soda'}), confidence=0.03333333333333333, lift=5.732950191570881), OrderedStatistic(items_base=frozenset({'yogurt'}), items_add=frozenset({'soda', 'chewing gum'}), confidence=0.004669260700389105, lift=4.657743190661479), OrderedStatistic(items_base=frozenset({'soda', 'chewing gum'}), items_add=frozenset({'yogurt'}), confidence=0.39999999999999997, lift=4.657743190661479), OrderedStatistic(items_base=frozenset({'yogurt', 'soda'}), items_add=frozenset({'chewing gum'}), confidence=0.06896551724137931, lift=5.732950191570882)]"
17,"frozenset({'pork', 'yogurt', 'citrus fruit'})",0.00040098910646260775,"[OrderedStatistic(items_base=frozenset({'yogurt'}), items_add=frozenset({'pork', 'citrus fruit'}), confidence=0.004669260700389105, lift=3.4933073929961087), OrderedStatistic(items_base=frozenset({'pork', 'citrus fruit'}), items_add=frozenset({'yogurt'}), confidence=0.3, lift=3.4933073929961087)]"
18,"frozenset({'coffee', 'rolls/buns', 'frankfurter'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'frankfurter'}), items_add=frozenset({'coffee', 'rolls/buns'}), confidence=0.008849557522123895, lift=3.6782202556538843), OrderedStatistic(items_base=frozenset({'coffee', 'rolls/buns'}), items_add=frozenset({'frankfurter'}), confidence=0.1388888888888889, lift=3.6782202556538843)]"
19,"frozenset({'coffee', 'soda', 'frankfurter'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'coffee'}), items_add=frozenset({'soda', 'frankfurter'}), confidence=0.010570824524312896, lift=3.438505377332475), OrderedStatistic(items_base=frozenset({'frankfurter'}), items_add=frozenset({'coffee', 'soda'}), confidence=0.008849557522123895, lift=3.578808897392969), OrderedStatistic(items_base=frozenset({'coffee', 'soda'}), items_add=frozenset({'frankfurter'}), confidence=0.13513513513513514, lift=3.578808897392969), OrderedStatistic(items_base=frozenset({'soda', 'frankfurter'}), items_add=frozenset({'coffee'}), confidence=0.10869565217391304, lift=3.438505377332475)]"
20,"frozenset({'coffee', 'sausage', 'pastry'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'coffee'}), items_add=frozenset({'sausage', 'pastry'}), confidence=0.010570824524312896, lift=3.2952343199436225), OrderedStatistic(items_base=frozenset({'pastry'}), items_add=frozenset({'coffee', 'sausage'}), confidence=0.006459948320413437, lift=4.833010335917313), OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'coffee', 'pastry'}), confidence=0.005537098560354374, lift=3.9453145599325), OrderedStatistic(items_base=frozenset({'coffee', 'pastry'}), items_add=frozenset({'sausage'}), confidence=0.2380952380952381, lift=3.9453145599325), OrderedStatistic(items_base=frozenset({'coffee', 'sausage'}), items_add=frozenset({'pastry'}), confidence=0.25, lift=4.833010335917313), OrderedStatistic(items_base=frozenset({'sausage', 'pastry'}), items_add=frozenset({'coffee'}), confidence=0.10416666666666667, lift=3.2952343199436225)]"
21,"frozenset({'fruit/vegetable juice', 'curd', 'sausage'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'curd'}), items_add=frozenset({'fruit/vegetable juice', 'sausage'}), confidence=0.009920634920634922, lift=5.497868900646679), OrderedStatistic(items_base=frozenset({'fruit/vegetable juice'}), items_add=frozenset({'curd', 'sausage'}), confidence=0.00982318271119843, lift=3.340551884265048), OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'fruit/vegetable juice', 'curd'}), confidence=0.005537098560354374, lift=8.28516057585825), OrderedStatistic(items_base=frozenset({'fruit/vegetable juice', 'curd'}), items_add=frozenset({'sausage'}), confidence=0.5, lift=8.28516057585825), OrderedStatistic(items_base=frozenset({'curd', 'sausage'}), items_add=frozenset({'fruit/vegetable juice'}), confidence=0.11363636363636365, lift=3.340551884265048), OrderedStatistic(items_base=frozenset({'fruit/vegetable juice', 'sausage'}), items_add=frozenset({'curd'}), confidence=0.1851851851851852, lift=5.497868900646679)]"
22,"frozenset({'curd', 'margarine', 'sausage'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'curd'}), items_add=frozenset({'margarine', 'sausage'}), confidence=0.009920634920634922, lift=5.301516439909298), OrderedStatistic(items_base=frozenset({'margarine'}), items_add=frozenset({'curd', 'sausage'}), confidence=0.01037344398340249, lift=3.527678234628442), OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'curd', 'margarine'}), confidence=0.005537098560354374, lift=5.178225359911406), OrderedStatistic(items_base=frozenset({'curd', 'margarine'}), items_add=frozenset({'sausage'}), confidence=0.3125, lift=5.178225359911406), OrderedStatistic(items_base=frozenset({'curd', 'sausage'}), items_add=frozenset({'margarine'}), confidence=0.11363636363636365, lift=3.5276782346284423), OrderedStatistic(items_base=frozenset({'margarine', 'sausage'}), items_add=frozenset({'curd'}), confidence=0.17857142857142858, lift=5.301516439909298)]"
23,"frozenset({'curd', 'sausage', 'yogurt'})",0.00046782062420637575,"[OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'curd', 'yogurt'}), confidence=0.007751937984496124, lift=3.4115367077063383), OrderedStatistic(items_base=frozenset({'curd', 'yogurt'}), items_add=frozenset({'sausage'}), confidence=0.2058823529411765, lift=3.4115367077063388)]"
24,"frozenset({'sausage', 'hard cheese', 'other vegetables'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'hard cheese'}), items_add=frozenset({'sausage', 'other vegetables'}), confidence=0.022727272727272728, lift=3.7785353535353536), OrderedStatistic(items_base=frozenset({'other vegetables'}), items_add=frozenset({'sausage', 'hard cheese'}), confidence=0.002736726874657909, lift=3.7226949295914813), OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'hard cheese', 'other vegetables'}), confidence=0.005537098560354374, lift=3.3140642303432997), OrderedStatistic(items_base=frozenset({'hard cheese', 'other vegetables'}), items_add=frozenset({'sausage'}), confidence=0.2, lift=3.3140642303433), OrderedStatistic(items_base=frozenset({'sausage', 'hard cheese'}), items_add=frozenset({'other vegetables'}), confidence=0.4545454545454546, lift=3.7226949295914817), OrderedStatistic(items_base=frozenset({'sausage', 'other vegetables'}), items_add=frozenset({'hard cheese'}), confidence=0.05555555555555556, lift=3.778535353535354)]"
